Id;DividaId;ClienteId;Vencimento;Valor;TipoContrato;Id;CPF;NomeCompleto;Id;CPF;NomeCompleto;Id;ContratoId;ConsultaTimestamp;AtrasoEmDias;ValorAtualizado;DescontoMaximo;Id;DividaId;ClienteId;Vencimento;Valor;TipoContrato;Id;CPF;NomeCompleto
277;19678573;258;07/10/2020 00:00:00;756,31;EMPRESTIMO PESSOAL;258;7406997680;ARNOLD SCHWARZENEGGER;258;7406997680;ARNOLD SCHWARZENEGGER;265;277;27/08/2023 14:27:40;1054;3413,4791333333333;40;277;19678573;258;07/10/2020 00:00:00;756,31;EMPRESTIMO PESSOAL;258;7406997680;ARNOLD SCHWARZENEGGER
278;99495880;259;08/10/2020 00:00:00;700;EMPRESTIMO PESSOAL;259;6561541871;AXL ROSE;259;6561541871;AXL ROSE;266;278;27/08/2023 14:27:40;1053;3157;40;278;99495880;259;08/10/2020 00:00:00;700;EMPRESTIMO PESSOAL;259;6561541871;AXL ROSE
279;69361192;260;09/10/2020 00:00:00;79,99;CREDIARIO VAREJO;260;80744305888;BARACK OBAMA;260;80744305888;BARACK OBAMA;267;279;27/08/2023 14:27:40;1052;360,4882666666667;30;279;69361192;260;09/10/2020 00:00:00;79,99;CREDIARIO VAREJO;260;80744305888;BARACK OBAMA
280;99996331;261;10/10/2020 00:00:00;1202;FINACIMANETO VEICULO;261;68989765838;CLAUDIA RAIA;261;68989765838;CLAUDIA RAIA;268;280;27/08/2023 14:27:40;1051;5413,006666666667;50;280;99996331;261;10/10/2020 00:00:00;1202;FINACIMANETO VEICULO;261;68989765838;CLAUDIA RAIA
281;8628668;261;11/10/2020 00:00:00;100;CREDIARIO VAREJO;261;68989765838;CLAUDIA RAIA;261;68989765838;CLAUDIA RAIA;269;281;27/08/2023 14:27:40;1050;450;30;281;8628668;261;11/10/2020 00:00:00;100;CREDIARIO VAREJO;261;68989765838;CLAUDIA RAIA
282;45085661;262;11/09/2020 00:00:00;3050;FINACIMANETO VEICULO;262;53801595838;ELVIS PRESLEY;262;53801595838;ELVIS PRESLEY;270;282;27/08/2023 14:27:40;1080;14030;50;282;45085661;262;11/09/2020 00:00:00;3050;FINACIMANETO VEICULO;262;53801595838;ELVIS PRESLEY
284;37549490;264;11/09/2020 00:00:00;450;MENSALIDADE ESCOLAR;264;4365438182;FRANK SINATRA;264;4365438182;FRANK SINATRA;271;284;27/08/2023 14:27:40;1080;2070;25;284;37549490;264;11/09/2020 00:00:00;450;MENSALIDADE ESCOLAR;264;4365438182;FRANK SINATRA
285;49805521;265;11/09/2020 00:00:00;545;MENSALIDADE ESCOLAR;265;85443290800;GALVAO BUENO;265;85443290800;GALVAO BUENO;272;285;27/08/2023 14:27:40;1080;2507;25;285;49805521;265;11/09/2020 00:00:00;545;MENSALIDADE ESCOLAR;265;85443290800;GALVAO BUENO
286;80940080;266;11/09/2020 00:00:00;485,95;MENSALIDADE ESCOLAR;266;22587010829;HEBE CAMARGO;266;22587010829;HEBE CAMARGO;273;286;27/08/2023 14:27:40;1080;2235,37;25;286;80940080;266;11/09/2020 00:00:00;485,95;MENSALIDADE ESCOLAR;266;22587010829;HEBE CAMARGO
287;17165914;267;11/09/2020 00:00:00;66,65;CREDIARIO VAREJO;267;31265498498;IVETE SANGALO;267;31265498498;IVETE SANGALO;274;287;27/08/2023 14:27:40;1080;306,59;30;287;17165914;267;11/09/2020 00:00:00;66,65;CREDIARIO VAREJO;267;31265498498;IVETE SANGALO
289;94799605;268;11/09/2020 00:00:00;79,07;CREDIARIO VAREJO;268;22879062829;MALU MADER;268;22879062829;MALU MADER;275;289;27/08/2023 14:27:40;1080;363,722;30;289;94799605;268;11/09/2020 00:00:00;79,07;CREDIARIO VAREJO;268;22879062829;MALU MADER
291;45300513;269;12/08/2020 00:00:00;1558;FINACIMANETO VEICULO;269;47747554869;MARISA MONTE;269;47747554869;MARISA MONTE;276;291;27/08/2023 14:27:41;1110;7322,6;50;291;45300513;269;12/08/2020 00:00:00;1558;FINACIMANETO VEICULO;269;47747554869;MARISA MONTE
292;67418718;270;12/08/2020 00:00:00;1500;FINACIMANETO VEICULO;270;6317989940;MICHAEL JACKSON;270;6317989940;MICHAEL JACKSON;277;292;27/08/2023 14:27:41;1110;7050;50;292;67418718;270;12/08/2020 00:00:00;1500;FINACIMANETO VEICULO;270;6317989940;MICHAEL JACKSON
293;54556547;271;12/08/2020 00:00:00;100;CREDIARIO VAREJO;271;64953555805;TOM JOBIM;271;64953555805;TOM JOBIM;278;293;27/08/2023 14:27:41;1110;470;30;293;54556547;271;12/08/2020 00:00:00;100;CREDIARIO VAREJO;271;64953555805;TOM JOBIM
294;65558847;272;12/08/2020 00:00:00;1205;EMPRESTIMO PESSOAL;272;53145242873;WILLIAM BONNER;272;53145242873;WILLIAM BONNER;279;294;27/08/2023 14:27:41;1110;5663,5;40;294;65558847;272;12/08/2020 00:00:00;1205;EMPRESTIMO PESSOAL;272;53145242873;WILLIAM BONNER
