CPF;CLIENTE;CONTRATO;VENCIMENTO;VALOR;TIPO DE CONTRATO
7406997680;ARNOLD SCHWARZENEGGER;19678573;07/10/2020;756,31;EMPRESTIMO PESSOAL
6561541871;AXL ROSE;99495880;08/10/2020;700;EMPRESTIMO PESSOAL
80744305888;BARACK OBAMA;69361192;09/10/2020;79,99;CREDIARIO VAREJO
68989765838;CLAUDIA RAIA;99996331;10/10/2020;1202;FINACIMANETO VEICULO
68989765838;CLAUDIA RAIA;8628668;11/10/2020;100;CREDIARIO VAREJO
53801595838;ELVIS PRESLEY;45085661;11/09/2020;3050;FINACIMANETO VEICULO
32077808810;FAUSTO SILVA;58984761;11/09/2020;850;CONDOMINIO
4365438182;FRANK SINATRA;37549490;11/09/2020;450;MENSALIDADE ESCOLAR
85443290800;GALVAO BUENO;49805521;11/09/2020;545;MENSALIDADE ESCOLAR
22587010829;HEBE CAMARGO;80940080;11/09/2020;485,95;MENSALIDADE ESCOLAR
31265498498;IVETE SANGALO;17165914;11/09/2020;66,65;CREDIARIO VAREJO
31265498498;IVETE SANGALO;26304591;11/09/2020;1000;CONDOMINIO
22879062829;MALU MADER;94799605;11/09/2020;79,07;CREDIARIO VAREJO
47747554869;MARISA MONTE;78889292;12/08/2020;750;CONDOMINIO
47747554869;MARISA MONTE;45300513;12/08/2020;1558;FINACIMANETO VEICULO
6317989940;MICHAEL JACKSON;67418718;12/08/2020;1500;FINACIMANETO VEICULO
64953555805;TOM JOBIM;54556547;12/08/2020;100;CREDIARIO VAREJO
53145242873;WILLIAM BONNER;65558847;12/08/2020;1205;EMPRESTIMO PESSOAL
